,end,head
0,"(228, 2684)","(228, 49)"
1,"(229, 2684)","(229, 49)"
2,"(267, 2492)","(267, 492)"
3,"(268, 2494)","(268, 489)"
4,"(269, 2494)","(269, 489)"
5,"(1101, 1855)","(1101, 1743)"
6,"(1325, 181)","(1325, 100)"
7,"(1325, 2494)","(1325, 489)"
8,"(1326, 2495)","(1326, 489)"
9,"(1327, 2494)","(1327, 491)"
