352,139,448,158
432,496,480,516
272,450,320,461
400,509,480,526
160,525,272,540
160,365,416,377
512,542,576,551
320,525,592,538
336,544,416,553
496,372,592,383
432,285,480,295
288,364,416,377
176,569,224,576
592,448,640,456
592,287,640,294
160,541,256,551
320,518,368,530
336,567,400,577
432,512,480,524
320,481,368,491
496,567,544,577
480,540,512,549
320,503,368,513
144,60,224,73
496,405,560,413
240,352,304,364
320,468,368,479
400,448,480,462
352,131,448,141
