112,509,352,527
112,244,352,259
112,452,320,466
112,433,320,448
112,315,336,329
112,299,336,315
112,402,352,419
320,149,352,165
112,284,320,296
112,379,352,392
448,254,688,271
112,421,352,434
448,432,672,447
448,412,656,429
112,332,176,343
448,371,672,385
448,464,688,478
176,72,368,99
112,266,336,281
448,355,656,368
448,387,672,401
448,399,672,415
112,150,192,164
512,78,624,99
448,300,656,313
448,332,672,351
448,320,656,333
448,284,656,297
528,189,704,204
528,209,624,222
656,72,704,100
528,505,592,519
