64,236,224,253
336,139,464,157
48,138,224,158
48,87,224,125
592,88,768,125
608,219,752,233
64,219,224,233
608,138,752,158
608,265,768,280
48,165,224,181
64,265,224,279
320,236,480,253
368,42,448,56
352,508,384,518
336,266,480,280
432,472,480,501
96,43,176,56
640,42,704,55
320,332,480,345
432,523,464,535
320,86,496,128
336,165,464,180
320,283,496,297
624,165,736,181
592,282,768,297
320,219,480,234
592,331,752,344
48,331,224,345
592,236,768,253
48,282,224,296
