297,264,549,279
29,345,341,359
118,101,534,118
29,325,386,340
29,411,207,428
29,595,519,611
14,293,118,308
118,69,519,82
267,635,549,648
118,84,534,98
118,124,534,137
29,575,505,589
29,363,133,376
29,433,386,449
118,141,534,153
29,396,386,408
29,502,415,520
14,230,297,242
29,452,401,465
118,53,193,67
29,616,59,628
29,484,415,499
0,208,549,225
0,189,519,205
133,158,534,171
29,560,505,572
29,525,505,539
14,249,549,262
118,173,519,185
29,542,193,555
29,469,490,481
118,380,356,394
237,53,519,66
386,421,445,434
