480,69,611,82
142,211,426,219
579,70,655,81
142,198,513,209
142,0,273,12
142,237,273,248
448,79,480,87
174,70,415,80
142,191,644,199
316,74,426,82
480,95,524,101
448,91,491,98
142,117,295,128
349,95,426,102
448,69,513,79
448,212,633,220
240,79,305,87
557,95,622,102
240,90,284,98
546,79,579,86
513,78,535,83
163,99,185,104
546,198,633,207
404,220,426,224
458,217,480,222
546,91,601,98
142,96,163,103
448,98,480,105
240,89,415,103
349,217,404,222
131,90,229,102
131,76,174,86
