464,77,528,93
128,475,224,496
656,513,720,530
128,363,176,378
496,436,544,452
656,289,720,306
496,380,624,393
96,142,128,158
656,140,720,153
656,363,720,377
464,59,672,75
144,553,192,573
80,91,224,105
656,439,720,452
496,362,608,375
496,232,608,244
80,42,144,56
144,247,176,262
80,256,144,274
128,502,192,518
448,137,608,159
496,456,624,468
128,267,192,288
464,507,608,528
288,92,384,104
80,374,128,386
448,529,608,545
80,197,288,210
656,27,752,40
208,545,384,578
80,427,288,441
128,155,192,173
80,493,128,503
448,284,608,307
80,312,288,325
64,549,112,582
464,306,624,323
480,211,720,228
464,531,608,545
480,156,624,170
