448,499,496,514
144,82,240,98
448,332,496,345
208,364,336,377
448,224,576,242
496,126,544,135
448,189,496,201
128,433,192,443
496,340,672,350
512,461,656,470
128,360,192,372
448,392,560,402
144,188,288,201
128,268,272,279
128,412,288,426
192,508,304,520
304,57,352,67
608,188,688,199
128,373,208,383
496,237,672,255
448,282,480,290
560,136,592,146
128,313,224,324
496,283,672,298
128,286,240,296
144,120,272,133
496,508,608,519
496,400,640,418
608,56,672,67
128,332,192,342
496,349,576,358
304,151,352,160
448,57,496,68
128,460,320,470
544,46,592,58
144,158,304,168
448,82,576,98
480,146,608,156
144,219,352,230
