80,386,160,401
576,459,688,472
224,295,384,307
224,167,304,181
224,311,352,322
224,359,384,372
416,312,464,325
80,453,176,466
224,119,352,131
80,320,128,329
80,431,128,442
416,219,704,231
224,375,320,386
80,343,160,354
224,423,288,436
224,246,320,258
224,231,304,244
224,487,288,501
80,204,144,219
80,363,144,375
224,184,304,194
224,440,352,451
416,204,720,217
416,113,544,130
80,278,144,289
592,515,720,529
224,320,384,337
656,120,720,130
224,503,384,515
224,518,384,529
432,476,480,485
80,251,160,265
416,280,464,292
144,59,192,66
352,233,704,255
416,58,528,68
224,260,640,275
224,451,368,467
352,102,576,116
224,131,384,149
416,467,576,479
80,233,144,243
352,170,448,182
224,386,384,405
352,490,384,499
80,103,288,117
224,191,720,208
128,102,160,110
352,422,496,436
80,473,160,484
64,166,144,177
64,144,144,153
