336,204,368,219
144,475,272,495
144,166,256,180
480,158,672,176
144,230,240,244
432,539,528,555
528,58,624,79
144,96,304,115
144,459,192,472
576,267,656,282
144,395,192,408
544,38,608,51
480,178,672,196
464,507,512,522
656,37,720,50
336,460,368,469
480,196,672,212
560,427,592,437
192,518,256,551
480,212,544,226
640,475,672,487
304,36,496,50
96,61,208,77
448,299,512,318
96,267,240,289
320,331,368,344
96,520,192,533
320,148,368,162
624,246,688,258
128,292,272,308
464,139,512,150
320,522,368,530
128,353,352,370
624,451,688,465
128,206,208,227
128,414,352,433
320,394,368,407
128,147,208,164
128,332,208,349
320,268,368,282
320,166,368,180
64,36,256,50
