176,511,304,533
464,207,608,223
464,180,560,196
464,275,560,291
144,258,256,275
464,340,560,355
688,207,720,226
176,123,208,138
592,443,720,475
464,411,560,427
144,430,224,451
464,237,528,251
688,409,720,425
144,238,240,252
464,303,528,315
464,373,528,386
144,413,240,429
352,135,384,147
144,375,208,385
688,273,720,290
528,512,656,533
176,152,320,164
464,100,656,114
688,339,720,356
560,460,592,473
672,367,720,385
672,235,720,253
672,300,720,319
144,300,224,312
144,361,192,370
144,316,272,331
464,123,656,136
208,85,272,98
464,143,528,155
