368,390,448,401
512,379,576,388
336,45,480,77
512,323,576,340
208,428,320,441
208,361,320,371
208,287,288,298
640,408,688,417
32,171,112,182
112,300,144,347
496,279,576,288
80,280,176,290
80,442,160,451
352,140,448,149
624,278,736,288
656,172,752,180
64,363,144,376
480,444,736,456
208,418,320,427
64,417,160,428
416,363,448,371
32,139,128,151
624,518,752,529
336,455,464,467
208,343,320,353
336,329,448,343
688,139,768,152
608,312,736,326
608,380,736,390
320,89,464,104
